PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Kanas, Agnieszka; van Tubergen, Frank				Kanas, Agnieszka/ABH-7016-2020; van Tubergen, Frank/B-7885-2013	van Tubergen, Frank/0000-0002-6415-2877					The Impact of Origin- and Host-Country Schooling on the Economic Performance of Immigrants								SOCIAL FORCES				88	2			893	915											Article	DEC 2009	2009										122	0	0	0	0	0	134			0037-7732	1534-7605														2009-12-01	WOS:000273512000014		
J	Kelly, Sean; Price, Heather										Vocational education: A <i>clean slate</i> for disengaged students?								SOCIAL SCIENCE RESEARCH				38	4			810	825				10.1016/j.ssresearch.2009.05.002							Article	DEC 2009	2009										25	1	0	0	1	1	62			0049-089X															2009-12-01	WOS:000207916000005		
J	Knight, Kathleen										Women, Politics and Power: A Global Perspective								SOCIAL FORCES				88	2			995	996											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000028		
J	Krinsky, John										Bargaining for Brooklyn: Community Organizations in the Entrepreneurial City								SOCIAL FORCES				88	2			998	1000											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000030		
J	Lange, Matthew; Dawson, Andrew				Dawson, Andrew/AFG-0547-2022; lange, mc/IAP-3085-2023	Dawson, Andrew/0000-0001-5981-7881					Dividing and Ruling the World? A Statistical Test of the Effects of Colonialism on Postcolonial Civil Violence								SOCIAL FORCES				88	2			785	817											Article	DEC 2009	2009										28	0	0	0	0	0	44			0037-7732															2009-12-01	WOS:000273512000011		
J	Lee, Jennifer; Bany, James A.										Getting Saved in America: Taiwanese Immigration and Religious Experience								SOCIAL FORCES				88	2			993	995											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000027		
J	Levanon, Asaf; England, Paula; Allison, Paul					Levanon, Asaf/0000-0003-2190-1281					Occupational Feminization and Pay: Assessing Causal Dynamics Using 1950-2000 US Census Data								SOCIAL FORCES				88	2			865	891				10.1353/sof.0.0264							Article	DEC 2009	2009										304	0	0	0	10	1	411			0037-7732															2009-12-01	WOS:000273512000013		
J	Liu, Hui										Till Death Do Us Part: Marital Status and US Mortality Trends, 1986-2000								JOURNAL OF MARRIAGE AND FAMILY				71	5			1158	1173				10.1111/j.1741-3737.2009.00661.x							Article	DEC 2009	2009										44	0	0	0	6	0	56			0022-2445															2009-12-01	WOS:000272344500004		
J	Marks, Gary N.				Marks, Gary/B-8611-2009	Marks, Gary/0000-0002-7380-5243					Modernization Theory and Changes Over Time in the Reproduction of Socioeconomic Inequalities in Australia								SOCIAL FORCES				88	2			917	944				10.1353/sof.0.0274							Article	DEC 2009	2009										22	0	0	0	0	0	27			0037-7732	1534-7605														2009-12-01	WOS:000273512000015		
J	Martinovic, Borja; van Tubergen, Frank; Maas, Ineke				Martinovic, Borja/F-2246-2013; Maas, Ineke/E-9760-2013; van Tubergen, Frank/B-7885-2013	van Tubergen, Frank/0000-0002-6415-2877					Changes in immigrants' social integration during the stay in the host country: The case of non-western immigrants in the Netherlands								SOCIAL SCIENCE RESEARCH				38	4			870	882				10.1016/j.ssresearch.2009.06.001							Article	DEC 2009	2009										66	0	0	0	1	1	74			0049-089X															2009-12-01	WOS:000207916000009		
J	Maume, David J.; Sebastian, Rachel A.; Bardo, Anthony R.					Bardo, Anthony/0000-0003-3120-0745					Gender Differences in Sleep Disruption among Retail Food Workers								AMERICAN SOCIOLOGICAL REVIEW				74	6			989	1007				10.1177/000312240907400607							Article	DEC 2009	2009										55	0	0	0	6	1	63			0003-1224	1939-8271														2009-12-01	WOS:000273193600007		
J	McAdam, Doug; Brandt, Cynthia										Assessing the Effects of Voluntary Youth Service: The Case of Teach for America								SOCIAL FORCES				88	2			945	969											Article	DEC 2009	2009										45	0	0	0	1	0	65			0037-7732	1534-7605														2009-12-01	WOS:000273512000016		
J	McFarland, Katherine										How the Religious Right Shaped Lesbian and Gay Activism								SOCIAL FORCES				88	2			996	998											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000029		
J	McVeigh, Rory; Diaz, Maria-Elena D.										Voting to Ban Same-Sex Marriage: Interests, Values, and Communities								AMERICAN SOCIOLOGICAL REVIEW				74	6			891	915				10.1177/000312240907400603							Article	DEC 2009	2009										93	0	0	0	3	0	127			0003-1224	1939-8271														2009-12-01	WOS:000273193600003		
J	Mendola, D.; Busetta, A.; Aassve, A.				Mendola, Daria/AAE-4614-2020	AASSVE, ARNSTEIN/0000-0002-9980-8610; MENDOLA, Daria/0000-0001-5723-7859; Busetta, Annalisa/0000-0002-5588-7433					What keeps young adults in permanent poverty? A comparative analysis using ECHP								SOCIAL SCIENCE RESEARCH				38	4			840	857				10.1016/j.ssresearch.2009.04.003							Article	DEC 2009	2009										22	0	0	0	1	0	22			0049-089X	1096-0317														2009-12-01	WOS:000207916000007		
J	Milkie, Melissa A.; Raley, Sara B.; Bianchi, Suzanne M.					Milkie, Melissa/0000-0002-7772-6614					Taking on the Second Shift: Time Allocations and Time Pressures of US Parents with Preschoolers								SOCIAL FORCES				88	2			487	517				10.1353/sof.0.0268							Article	DEC 2009	2009										124	0	0	0	1	0	174			0037-7732	1534-7605														2009-12-01	WOS:000273512000001		
J	Miller, Warren B.; Sable, Marjorie R.; Beckmeyer, Jonathon J.										Preconception Motivation and Pregnancy Wantedness: Pathways to Toddler Attachment Security								JOURNAL OF MARRIAGE AND FAMILY				71	5			1174	1192				10.1111/j.1741-3737.2009.00662.x							Article	DEC 2009	2009										21	0	0	0	1	0	25			0022-2445	1741-3737														2009-12-01	WOS:000272344500005		
J	Moore, Mignon R.										New Choices, New Families: How Lesbians Decide About Motherhood								JOURNAL OF MARRIAGE AND FAMILY				71	5			1350	1352				10.1111/j.1741-3737.2009.00674.x							Book Review	DEC 2009	2009										1	0	0	0	0	0	1			0022-2445															2009-12-01	WOS:000272344500017		
J	Morrissey, Taryn W.; Warner, Mildred E.				; Morrissey, Taryn/J-1960-2015	Warner, Mildred/0000-0002-0109-338X; Morrissey, Taryn/0000-0002-2916-0820					Employer-Supported Child Care: Who Participates?								JOURNAL OF MARRIAGE AND FAMILY				71	5			1340	1348				10.1111/j.1741-3737.2009.00672.x							Article	DEC 2009	2009										14	0	0	0	0	0	17			0022-2445	1741-3737														2009-12-01	WOS:000272344500015		
J	Musick, Kelly; England, Paula; Edgington, Sarah; Kangas, Nicole										Education Differences in Intended and Unintended Fertility								SOCIAL FORCES				88	2			543	572											Article	DEC 2009	2009										112	0	0	0	4	1	145			0037-7732															2009-12-01	WOS:000273512000003	23436948	
J	Parker, John										Disrupting Science								SOCIAL FORCES				88	2			991	993											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732	1534-7605														2009-12-01	WOS:000273512000026		
J	Payton, Andrew										Saving the Modern Soul: Therapy, Emotions, and the Culture of Self-Help								SOCIAL FORCES				88	2			977	978											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732	1534-7605														2009-12-01	WOS:000273512000018		
J	Roeters, Anne; van der Lippe, Tanja; Kluwer, Esther S.				Roeters, Anne/F-2617-2013; van der Lippe, Tanja/E-6822-2013						Parental Work Demands and the Frequency of Child-Related Routine and Interactive Activities								JOURNAL OF MARRIAGE AND FAMILY				71	5			1193	1204				10.1111/j.1741-3737.2009.00663.x							Article	DEC 2009	2009										51	0	0	0	0	0	60			0022-2445	1741-3737														2009-12-01	WOS:000272344500006		
J	Roscigno, Vincent J.; Hodson, Randy										EDITORIAL TRANSITION AND BIDDING ADIEU								AMERICAN SOCIOLOGICAL REVIEW				74	6			IV	IV				10.1177/000312240907400601							Editorial Material	DEC 2009	2009										0	0	0	0	0	0	0			0003-1224	1939-8271														2009-12-01	WOS:000273193600001		
J	Rosenfeld, Jake; Kleykamp, Meredith				Kleykamp, Meredith/A-4445-2008						Hispanics and Organized Labor in the United States, 1973 to 2007								AMERICAN SOCIOLOGICAL REVIEW				74	6			916	937				10.1177/000312240907400604							Article	DEC 2009	2009										24	0	0	0	1	0	34			0003-1224	1939-8271														2009-12-01	WOS:000273193600004		
J	Rost, Nicolas; Schneider, Gerald; Kleibl, Johannes				Rost, Nicolas/L-1623-2019; Schneider, Gerald/A-1903-2012	Rost, Nicolas/0000-0002-9277-5692; Schneider, Gerald/0000-0002-0091-6217					A global risk assessment model for civil wars								SOCIAL SCIENCE RESEARCH				38	4			921	933				10.1016/j.ssresearch.2009.06.007							Article	DEC 2009	2009										24	0	0	0	1	0	27			0049-089X	1096-0317														2009-12-01	WOS:000207916000012		
J	Schieman, Scott; Milkie, Melissa A.; Glavin, Paul					Milkie, Melissa/0000-0002-7772-6614; Glavin, Paul/0000-0003-2813-4791					When Work Interferes with Life: Work-Nonwork Interference and the Influence of Work-Related Demands and Resources								AMERICAN SOCIOLOGICAL REVIEW				74	6			966	988				10.1177/000312240907400606							Article	DEC 2009	2009										317	1	0	0	9	3	404			0003-1224	1939-8271														2009-12-01	WOS:000273193600006		
J	Schmalzbauer, John										Korean American Evangelicals: New Models for Civic Life								SOCIAL FORCES				88	2			980	982											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000020		
J	Soons, Judith P. M.; Kalmijn, Matthijs				Kalmijn, Matthijs/F-2943-2013						Is Marriage More Than Cohabitation? Well-Being Differences in 30 European Countries								JOURNAL OF MARRIAGE AND FAMILY				71	5			1141	1157				10.1111/j.1741-3737.2009.00660.x							Article	DEC 2009	2009										162	0	1	0	0	0	184			0022-2445	1741-3737														2009-12-01	WOS:000272344500003		
J	Soons, Judith P. M.; Liefbroer, Aart C.; Kalmijn, Matthijs				Kalmijn, Matthijs/F-2943-2013	Liefbroer, Aart/0000-0002-7884-3150					The Long-Term Consequences of Relationship Formation for Subjective Well-Being								JOURNAL OF MARRIAGE AND FAMILY				71	5			1254	1270				10.1111/j.1741-3737.2009.00667.x							Article	DEC 2009	2009										97	0	0	0	2	0	108			0022-2445	1741-3737														2009-12-01	WOS:000272344500010		
J	Tanner, Julian; Asbridge, Mark; Wortley, Scot										Listening to Rap: Cultures of Crime, Cultures of Resistance								SOCIAL FORCES				88	2			693	722											Article	DEC 2009	2009										28	0	0	0	1	0	53			0037-7732	1534-7605														2009-12-01	WOS:000273512000008		
J	Taylor, Verta; Kimport, Katrina; Van Dyke, Nella; Andersen, Ellen Ann										Culture and Mobilization: Tactical Repertoires, Same-Sex Weddings, and the Impact on Gay Activism								AMERICAN SOCIOLOGICAL REVIEW				74	6			865	890				10.1177/000312240907400602							Article	DEC 2009	2009										152	0	0	0	0	1	204			0003-1224	1939-8271														2009-12-01	WOS:000273193600002		
J	Utrata, Jennifer										American Families: A Multicultural Reader								JOURNAL OF MARRIAGE AND FAMILY				71	5			1352	1354				10.1111/j.1741-3737.2009.00675.x							Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0022-2445															2009-12-01	WOS:000272344500018		
J	Van de Putte, Bart; Van Poppel, Frans; Vanassche, Sofie; Sanchez, Maria; Jidkova, Svetlana; Eeckhaut, Mieke; Oris, Michel; Matthijs, Koen				Michel, Oris/KRP-9913-2024; van Poppel, Frans/H-3649-2013; Sánchez-Domínguez, María/AGR-7491-2022	Vanassche, Sofie/0000-0002-1216-2766; Eeckhaut, Mieke/0000-0001-9132-0883					The Rise of Age Homogamy in 19th Century Western Europe								JOURNAL OF MARRIAGE AND FAMILY				71	5			1234	1253				10.1111/j.1741-3737.2009.00666.x							Article	DEC 2009	2009										52	0	0	0	0	0	56			0022-2445	1741-3737														2009-12-01	WOS:000272344500009		
J	Vandeleur, C. L.; Jeanpretre, N.; Perrez, M.; Schoebi, D.					Schoebi, Dominik/0000-0003-3991-2712; Vandeleur, Caroline/0000-0001-9092-6648					Cohesion, Satisfaction With Family Bonds, and Emotional Well-Being in Families With Adolescents								JOURNAL OF MARRIAGE AND FAMILY				71	5			1205	1219				10.1111/j.1741-3737.2009.00664.x							Article	DEC 2009	2009										37	0	0	2	4	0	56			0022-2445															2009-12-01	WOS:000272344500007		
J	Walker, Edward T.										Site Fights: Divisive Facilities and Civil Society in Japan and the West								SOCIAL FORCES				88	2			987	989				10.1353/sof.0.0256							Book Review	DEC 2009	2009										1	0	0	0	0	0	1			0037-7732															2009-12-01	WOS:000273512000024		
J	Wight, Vanessa R.; Price, Joseph; Bianchi, Suzanne M.; Hunt, Bijou R.										The time use of teenagers								SOCIAL SCIENCE RESEARCH				38	4			792	809				10.1016/j.ssresearch.2009.05.009							Article	DEC 2009	2009										87	0	0	0	8	1	101			0049-089X	1096-0317														2009-12-01	WOS:000207916000004		
J	Wildeman, Christopher; Percheski, Christine										Associations of Childhood Religious Attendance, Family Structure, and Nonmarital Fertility Across Cohorts								JOURNAL OF MARRIAGE AND FAMILY				71	5			1294	1308				10.1111/j.1741-3737.2009.00669.x							Article	DEC 2009	2009										3	0	0	0	0	0	5			0022-2445															2009-12-01	WOS:000272344500012		
J	Williams, Nathalie										Education, gender, and migration in the context of social change								SOCIAL SCIENCE RESEARCH				38	4			883	896				10.1016/j.ssresearch.2009.04.005							Article	DEC 2009	2009										49	0	0	0	2	0	56			0049-089X	1096-0317														2009-12-01	WOS:000207916000010	20645440	
J	Youniss, James										Why We Need To Learn More About Youth Civic Engagement								SOCIAL FORCES				88	2			971	975											Editorial Material	DEC 2009	2009										12	0	0	0	1	1	22			0037-7732															2009-12-01	WOS:000273512000017		
J	Yount, Kathryn M.; Li, Li				Yount, Kathryn/W-2942-2019						Women's "Justification" of Domestic Violence in Egypt								JOURNAL OF MARRIAGE AND FAMILY				71	5			1125	1140				10.1111/j.1741-3737.2009.00659.x							Article	DEC 2009	2009										83	0	0	0	8	0	95			0022-2445	1741-3737														2009-12-01	WOS:000272344500002		
J	Abraham, John				Abraham, John/HZL-0430-2023						Global Pharmaceuticals: Ethics, Markets, Practices								AMERICAN JOURNAL OF SOCIOLOGY				115	3			979	983				10.1086/651362							Book Review	NOV 2009	2009										0	0	0	0	0	0	0			0002-9602															2009-11-01	WOS:000274365700046		
J	Abrego, Leisy										Economic Well-Being in Salvadoran Transnational Families: How Gender Affects Remittance Practices								JOURNAL OF MARRIAGE AND FAMILY				71	4			1070	1085				10.1111/j.1741-3737.2009.00653.x							Article	NOV 2009	2009										126	0	1	0	1	1	170			0022-2445	1741-3737														2009-11-01	WOS:000271061100018		
J	Adamsons, Kari				Adamsons, Kari/ABF-8181-2020						Intimate Fatherhood: A Sociological Analysis								JOURNAL OF MARRIAGE AND FAMILY				71	4			1102	1104				10.1111/j.1741-3737.2009.00656.x							Book Review	NOV 2009	2009										1	0	0	0	0	0	2			0022-2445															2009-11-01	WOS:000271061100021		
J	Adut, Ari										Beyond Sacred and Secular: Politics of Religion in Israel and Turkey.								AMERICAN JOURNAL OF SOCIOLOGY				115	3			926	928				10.1086/651338							Book Review	NOV 2009	2009										0	0	0	0	0	0	0			0002-9602															2009-11-01	WOS:000274365700022		
J	Beckert, Jens										Inheritance in Contemporary America: The Social Dimensions of Giving across Generations.								AMERICAN JOURNAL OF SOCIOLOGY				115	3			907	909				10.1086/651328							Book Review	NOV 2009	2009										0	0	0	0	0	0	0			0002-9602															2009-11-01	WOS:000274365700012		
J	Benner, Aprile D.; Kim, Su Yeong										Intergenerational Experiences of Discrimination in Chinese American Families: Influences of Socialization and Stress								JOURNAL OF MARRIAGE AND FAMILY				71	4			862	877				10.1111/j.1741-3737.2009.00640.x							Article	NOV 2009	2009										77	0	0	0	3	0	100			0022-2445	1741-3737														2009-11-01	WOS:000271061100005	20161516	
